Sr. No.,Mpp/Mcc Name,Milk Qty,Latitude,Longitude,Milk Dispatched Locations
359,Pindkapar,92.89806451612904,21.430127,79.342205,Bmc Manapur
360,Dongri,176.08451612903227,21.440423,79.335873,Bmc Manapur
362,Lodha,36.24967741935484,21.642252,79.492329,Bmc Manapur
363,Navegaon,73.48645161290322,21.611476,79.397599,Bmc Manapur
364,Deolapar,90.5858064516129,21.587052,79.36963,Bmc Manapur
365,Hiwara Ii,418.6967741935483,21.538624,79.303694,Bmc Manapur
366,Dadhoda,,21.539199,79.26633,Bmc Manapur
367,Pauni,50.0,21.529717,79.343116,Bmc Manapur
368,Khumari,285.72516129032255,21.447713,79.293972,Bmc Manapur
369,Borda,215.66,21.445193,79.273832,Bmc Manapur
370,Hiwara Bende,418.6967741935483,21.420032,79.276532,Bmc Manapur
371,Hetitola,111.61193548387098,21.395108,79.261402,Bmc Manapur
372,Chargaon Ramtek,13.577419354838709,21.40665,79.295375,Bmc Manapur
373,Bmc Ajani,2000.0,21.208347,79.217071,Mcc Dhanoli
374,Bmc Bhendala,1200.0,21.230641,79.427196,Mcc Dhanoli
375,Bmc Beena,2100.0,21.259494,79.149641,Mcc Dhanoli
376,Bmc Bitoli,1650.0,21.436993,79.166217,Mcc Dhanoli
377,Bmc Dhanala,2400.0,21.188558,79.474421,Mcc Dhanoli
378,Bmc Khat,1150.0,21.237576,79.547975,Mcc Dhanoli
379,Bmc Lihgaon,420.0,21.176772,79.232263,Mcc Dhanoli
380,Bmc Rajoli,1200.0,21.277168,79.459625,Mcc Dhanoli
381,Bmc Tarsa,1580.0,21.225368,79.380476,Mcc Dhanoli
382,Bmc Tekadi Ct,1550.0,21.261318,79.237673,Mcc Dhanoli
383,Bmc Wadoda,390.0,21.131418,79.322342,Mcc Dhanoli
